party;newspaper;politician;count;mean;score
CDU;www.fr.de;Junge Union;110;-0.1248;-124
CDU;www.fr.de;Michael Kretschmer;63;-0.0958;-95
CDU;www.fr.de;Norbert Lammert;49;-0.1492;-149
CDU;www.fr.de;Paul Ziemiak;33;-0.0501;-50
CDU;www.fr.de;Peter Altmaier;613;-0.2698;-269
CDU;www.fr.de;Peter Tauber;99;-0.0929;-92
CDU;www.fr.de;Stefan Sauer;109;-0.1749;-174
CDU;www.fr.de;Thomas Strobl;35;-0.0896;-89
CDU;www.fr.de;Ursula von der Leyen;252;-0.1525;-152
CDU;www.fr.de;Volker Bouffier;417;-0.0888;-88
CDU;www.fr.de;Volker Kauder;115;-0.1229;-122
CDU;www.gruene.de;Angela Merkel;42;-0.1277;-127
CDU;www.gruene.de;CDU;57;-0.1566;-156
CDU;www.handelsblatt.de;Angela Merkel;1745;-0.1199;-119
CDU;www.handelsblatt.de;Annegret Kramp-Karrenbauer;110;-0.0271;-27
CDU;www.handelsblatt.de;Armin Laschet;147;-0.0581;-58
CDU;www.handelsblatt.de;CDU;2031;-0.0888;-88
CDU;www.handelsblatt.de;Daniel Günther;35;0.0175;17
CDU;www.handelsblatt.de;Helmut Kohl;44;-0.1066;-106
CDU;www.handelsblatt.de;Jens Spahn;99;-0.1029;-102
CDU;www.handelsblatt.de;Julia Klöckner;32;0.0168;16
CDU;www.handelsblatt.de;Junge Union;42;-0.0151;-15
CDU;www.handelsblatt.de;Ole Schröder;36;-0.0834;-83
CDU;www.handelsblatt.de;Peter Altmaier;115;-0.0424;-42
CDU;www.handelsblatt.de;Peter Tauber;48;-0.0719;-71
CDU;www.handelsblatt.de;Thomas de Maizière;170;-0.1844;-184
CDU;www.handelsblatt.de;Ursula von der Leyen;177;-0.1832;-183
CDU;www.handelsblatt.de;Volker Bouffier;34;-0.0421;-42
CDU;www.handelsblatt.de;Volker Kauder;67;-0.1052;-105
CDU;www.handelsblatt.de;Wolfgang Schäuble;352;-0.0961;-96
CDU;www.huffingtonpost.de;Angela Merkel;3345;-0.12;-119
CDU;www.huffingtonpost.de;Annegret Kramp-Karrenbauer;137;-0.0578;-57
CDU;www.huffingtonpost.de;Armin Laschet;188;-0.0815;-81
CDU;www.huffingtonpost.de;CDU;3093;-0.1081;-108
CDU;www.huffingtonpost.de;Daniel Günther;48;-0.0433;-43
CDU;www.huffingtonpost.de;Helmut Kohl;72;-0.1391;-139
CDU;www.huffingtonpost.de;Hermann Gröhe;62;-0.0304;-30
CDU;www.huffingtonpost.de;Jens Spahn;711;-0.0611;-61
CDU;www.huffingtonpost.de;Julia Klöckner;144;-0.055;-55
CDU;www.huffingtonpost.de;Junge Union;81;-0.0854;-85
CDU;www.huffingtonpost.de;Ole Schröder;87;-0.1029;-102
CDU;www.huffingtonpost.de;Paul Ziemiak;126;-0.0818;-81
CDU;www.huffingtonpost.de;Peter Altmaier;141;-0.1151;-115
CDU;www.huffingtonpost.de;Peter Tauber;140;-0.1023;-102
CDU;www.huffingtonpost.de;Thomas Strobl;72;-0.1385;-138
CDU;www.huffingtonpost.de;Thomas de Maizière;301;-0.1685;-168
CDU;www.huffingtonpost.de;Ursula von der Leyen;166;-0.12;-120
CDU;www.huffingtonpost.de;Volker Bouffier;46;-0.1622;-162
CDU;www.huffingtonpost.de;Volker Kauder;116;-0.1049;-104
CDU;www.huffingtonpost.de;Wolfgang Bosbach;37;-0.1842;-184
CDU;www.huffingtonpost.de;Wolfgang Schäuble;286;-0.1175;-117
CDU;www.jungefreiheit.de;Angela Merkel;604;-0.2624;-262
CDU;www.jungefreiheit.de;CDU;768;-0.1768;-176
CDU;www.jungefreiheit.de;Jens Spahn;45;-0.2293;-229
CDU;www.jungefreiheit.de;Thomas de Maizière;101;-0.1933;-193
CDU;www.jungefreiheit.de;Ursula von der Leyen;59;-0.2636;-263
CDU;www.jungefreiheit.de;Wolfgang Schäuble;34;-0.209;-209
CDU;www.jungewelt.de;Angela Merkel;325;-0.1625;-162
CDU;www.jungewelt.de;Armin Laschet;33;-0.0465;-46
CDU;www.jungewelt.de;CDU;816;-0.1117;-111
CDU;www.jungewelt.de;Jens Spahn;43;-0.1953;-195
CDU;www.jungewelt.de;Thomas de Maizière;83;-0.1737;-173
CDU;www.jungewelt.de;Ursula von der Leyen;67;-0.1107;-110
CDU;www.jungewelt.de;Wolfgang Schäuble;58;-0.123;-123
CDU;www.n-tv.de;Angela Merkel;3559;-0.144;-144
CDU;www.n-tv.de;Annegret Kramp-Karrenbauer;240;-0.1062;-106
CDU;www.n-tv.de;Armin Laschet;244;-0.1328;-132
CDU;www.n-tv.de;CDU;2660;-0.1297;-129
CDU;www.n-tv.de;Carsten Linnemann;32;-0.1294;-129
CDU;www.n-tv.de;Daniel Günther;72;-0.1612;-161
CDU;www.n-tv.de;Helmut Kohl;115;-0.1107;-110
CDU;www.n-tv.de;Hermann Gröhe;70;-0.1207;-120
CDU;www.n-tv.de;Jens Spahn;326;-0.1115;-111
CDU;www.n-tv.de;Julia Klöckner;165;-0.1692;-169
CDU;www.n-tv.de;Junge Union;129;-0.1113;-111
CDU;www.n-tv.de;Michael Grosse-Brömer;35;-0.0176;-17
CDU;www.n-tv.de;Michael Kretschmer;37;-0.2209;-220
CDU;www.n-tv.de;Norbert Röttgen;33;-0.3161;-316
CDU;www.n-tv.de;Ole Schröder;101;-0.0958;-95
CDU;www.n-tv.de;Paul Ziemiak;62;-0.1439;-143
CDU;www.n-tv.de;Peter Altmaier;193;-0.1108;-110
CDU;www.n-tv.de;Peter Tauber;126;-0.1024;-102
CDU;www.n-tv.de;Thomas Strobl;64;-0.1675;-167
CDU;www.n-tv.de;Thomas de Maizière;464;-0.2332;-233
CDU;www.n-tv.de;Ursula von der Leyen;319;-0.1697;-169
CDU;www.n-tv.de;Volker Bouffier;51;-0.0519;-51
CDU;www.n-tv.de;Volker Kauder;174;-0.1084;-108
CDU;www.n-tv.de;Wolfgang Bosbach;40;-0.2727;-272
CDU;www.n-tv.de;Wolfgang Schäuble;384;-0.0812;-81
CDU;www.national-zeitung.de;Angela Merkel;60;-0.1518;-151
CDU;www.neues-deutschland.de;Angela Merkel;1531;-0.1455;-145
CDU;www.neues-deutschland.de;Annegret Kramp-Karrenbauer;117;-0.03;-29
CDU;www.neues-deutschland.de;Armin Laschet;119;-0.0943;-94
CDU;www.neues-deutschland.de;CDU;4068;-0.0927;-92
CDU;www.neues-deutschland.de;Daniel Günther;39;0.0122;12
CDU;www.neues-deutschland.de;Helmut Kohl;233;-0.0976;-97
CDU;www.neues-deutschland.de;Hermann Gröhe;46;-0.1932;-193
CDU;www.neues-deutschland.de;Jens Spahn;159;-0.1483;-148
CDU;www.neues-deutschland.de;Johanna Wanka;54;-0.0292;-29
CDU;www.neues-deutschland.de;Julia Klöckner;66;-0.1114;-111
CDU;www.neues-deutschland.de;Junge Union;102;-0.1393;-139
CDU;www.neues-deutschland.de;Konrad Adenauer;55;-0.0886;-88
CDU;www.neues-deutschland.de;Michael Kretschmer;56;-0.2049;-204
CDU;www.neues-deutschland.de;Norbert Lammert;34;-0.1609;-160
CDU;www.neues-deutschland.de;Ole Schröder;191;-0.1197;-119
CDU;www.neues-deutschland.de;Peter Altmaier;105;-0.1347;-134
CDU;www.neues-deutschland.de;Peter Tauber;53;-0.0633;-63
CDU;www.neues-deutschland.de;Reiner Haseloff;60;-0.0588;-58
CDU;www.neues-deutschland.de;Thomas Strobl;33;-0.2883;-288
CDU;www.neues-deutschland.de;Thomas de Maizière;344;-0.1871;-187
CDU;www.neues-deutschland.de;Ursula von der Leyen;236;-0.1324;-132
CDU;www.neues-deutschland.de;Volker Bouffier;70;-0.0866;-86
CDU;www.neues-deutschland.de;Volker Kauder;83;-0.1135;-113
CDU;www.neues-deutschland.de;Wolfgang Schäuble;366;-0.1212;-121
CDU;www.spiegel.de;Angela Merkel;6438;-0.173;-173
CDU;www.spiegel.de;Anja Karliczek;35;-0.0607;-60
CDU;www.spiegel.de;Annegret Kramp-Karrenbauer;264;-0.1093;-109
CDU;www.spiegel.de;Armin Laschet;343;-0.1348;-134
CDU;www.spiegel.de;CDU;4612;-0.1504;-150
CDU;www.spiegel.de;Carsten Linnemann;43;-0.0858;-85
CDU;www.spiegel.de;Daniel Günther;102;-0.1002;-100
CDU;www.spiegel.de;Helmut Kohl;234;-0.1217;-121
CDU;www.spiegel.de;Hermann Gröhe;106;-0.1774;-177
CDU;www.spiegel.de;Jens Spahn;862;-0.1755;-175
CDU;www.spiegel.de;Johanna Wanka;45;-0.0797;-79
CDU;www.spiegel.de;Julia Klöckner;220;-0.0969;-96
CDU;www.spiegel.de;Junge Union;104;-0.1821;-182
CDU;www.spiegel.de;Konrad Adenauer;40;-0.1357;-135
CDU;www.spiegel.de;Michael Kretschmer;46;-0.1542;-154
CDU;www.spiegel.de;Norbert Lammert;34;-0.088;-88
CDU;www.spiegel.de;Norbert Röttgen;37;-0.2229;-222
CDU;www.spiegel.de;Ole Schröder;429;-0.1699;-169
CDU;www.spiegel.de;Paul Ziemiak;58;-0.1579;-157
CDU;www.spiegel.de;Peter Altmaier;341;-0.1582;-158
CDU;www.spiegel.de;Peter Tauber;139;-0.1505;-150
CDU;www.spiegel.de;Thomas Strobl;47;-0.1388;-138
CDU;www.spiegel.de;Thomas de Maizière;524;-0.2525;-252
CDU;www.spiegel.de;Ursula von der Leyen;487;-0.2091;-209
CDU;www.spiegel.de;Volker Bouffier;73;-0.1591;-159
CDU;www.spiegel.de;Volker Kauder;219;-0.1687;-168
CDU;www.spiegel.de;Wolfgang Bosbach;37;-0.1258;-125
CDU;www.spiegel.de;Wolfgang Schäuble;723;-0.157;-157
CDU;www.stern.de;Angela Merkel;1256;-0.1299;-129
CDU;www.stern.de;Annegret Kramp-Karrenbauer;70;-0.1001;-100
CDU;www.stern.de;Armin Laschet;63;-0.0751;-75
CDU;www.stern.de;CDU;1172;-0.0891;-89
