date;party;politician;newsshort;news;id;source
2017-09-21;Die Grünen;Katrin Göring-Eckardt;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;68;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-21;Die Linke;Sahra Wagenknecht;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;69;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-21;FDP;Christian Lindner;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;70;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-21;AfD;Alexander Gauland;;Final discussion with Ursula von der Leyen, Manuela Schwesig, Joachim Herrmann, Katrin Göring-Eckardt, Sahra Wagenknecht, Christian Lindner, Alexander Gauland;71;https://www.dwdl.de/nachrichten/61865/ard_und_zdf_planen_diskussion_mit_allen_parteien/
2017-09-24;CDU;CDU;federal election;German federal election 2017;72;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;CSU;CSU;federal election;German federal election 2017;73;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;SPD;SPD;federal election;German federal election 2017;74;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;Die Linke;Die Linke;federal election;German federal election 2017;75;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;Die Grünen;Die Grünen;federal election;German federal election 2017;76;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;AfD;AfD;federal election;German federal election 2017;77;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-09-24;FDP;FDP;federal election;German federal election 2017;78;https://wahl.tagesschau.de/wahlen/2017-09-24-BT-DE/index.shtml
2017-10-15;CDU;CDU;election Niedersachsen;federal state elections in Niedersachsen;79;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;CSU;CSU;election Niedersachsen;federal state elections in Niedersachsen;80;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;SPD;SPD;election Niedersachsen;federal state elections in Niedersachsen;81;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;Die Linke;Die Linke;election Niedersachsen;federal state elections in Niedersachsen;82;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;Die Grünen;Die Grünen;election Niedersachsen;federal state elections in Niedersachsen;83;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;AfD;AfD;election Niedersachsen;federal state elections in Niedersachsen;84;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-10-15;FDP;FDP;election Niedersachsen;federal state elections in Niedersachsen;85;http://wahl.tagesschau.de/wahlen/2017-10-15-LT-DE-NI/index.shtml
2017-11-15;CDU;Angela Merkel;;Angela Merkel speaks at 2017 United Nations Climate Change Conference;86;http://www.faz.net/aktuell/wirtschaft/angela-merkel-auf-der-klimakonferenz-in-bonn-erwartet-15293180.html
2017-11-19;FDP;Christian Lindner;Jamaika negotiation fails;exploratory talks for Jamaika coalition fail;87;http://www.faz.net/1.5301078
2017-11-19;CDU;Angela Merkel;Jamaika negotiation fails;exploratory talks for Jamaika coalition fail;88;http://www.faz.net/1.5301078
2017-11-19;CSU;Horst Seehofer;Jamaika negotiation fails;exploratory talks for Jamaika coalition fail;89;http://www.faz.net/1.5301078
