Detlef Seif;Detlef;Seif;CDU;member of federal parliament 1
Detlev Pilger;Detlev;Pilger;SPD;member of federal parliament 1
Detlev Spangenberg;Detlev;Spangenberg;AfD;member of federal parliament 2
Diana Golze;Diana;Golze;Die Linke;member of federal parliament 1
Dieter Janecek;Dieter;Janecek;Die Grünen;member of federal parliament 1
Dieter Stier;Dieter;Stier;CDU;member of federal parliament 1
Diether Dehm;Diether;Dehm;Die Linke;member of federal parliament 1
Dietlind Tiemann;Dietlind;Tiemann;CDU;member of federal parliament 2
Dietmar Bartsch;Dietmar;Bartsch;Die Linke;member of federal parliament 1
Dietmar Friedhoff;Dietmar;Friedhoff;AfD;member of federal parliament 2
Dietmar Nietan;Dietmar;Nietan;SPD;member of federal parliament 1
Dietrich Monstadt;Dietrich;Monstadt;CDU;member of federal parliament 1
Dirk Becker;Dirk;Becker;SPD;member of federal parliament 1
Dirk Fischer;Dirk;Fischer;CDU;member of federal parliament 1
Dirk Heidenblut;Dirk;Heidenblut;SPD;member of federal parliament 1
Dirk Spaniel;Dirk;Spaniel;AfD;member of federal parliament 2
Dirk Vöpel;Dirk;Vöpel;SPD;member of federal parliament 1
Dirk Wiese;Dirk;Wiese;SPD;member of federal parliament 1
Doris Achelwilm;Doris;Achelwilm;Die Linke;member of federal parliament 2
Doris Barnett;Doris;Barnett;SPD;member of federal parliament 1
Doris Wagner;Doris;Wagner;Die Grünen;member of federal parliament 1
Dorothee Schlegel;Dorothee;Schlegel;SPD;member of federal parliament 1
Eberhard Gienger;Eberhard;Gienger;CDU;member of federal parliament 1
Eckhard Gnodtke;Eckhard;Gnodtke;CDU;member of federal parliament 2
Eckhard Pols;Eckhard;Pols;CDU;member of federal parliament 1
Eckhardt Rehberg;Eckhardt;Rehberg;CDU;member of federal parliament 1
Edelgard Bulmahn;Edelgard;Bulmahn;SPD;member of federal parliament 1
Edgar Franke;Edgar;Franke;SPD;member of federal parliament 1
Edmund Stoiber;Edmund;Stoiber;CSU;honorary chairperson
Egon Jüttner;Egon;Jüttner;CDU;member of federal parliament 1
Ekin Deligöz;Ekin;Deligöz;Die Grünen;member of federal parliament 1
Elfi Scho-Antwerpes;Elfi;Scho-Antwerpes;SPD;member of federal parliament 1
Elisabeth Charlotte Motschmann;Elisabeth Charlotte;Motschmann;CDU;member of federal parliament 1
Elisabeth Kaiser;Elisabeth;Kaiser;SPD;member of federal parliament 2
Elisabeth Motschmann;Elisabeth;Motschmann;CDU;member of federal parliament 2
Elisabeth Paus;Elisabeth;Paus;Die Grünen;member of federal parliament 1
Elisabeth Scharfenberg;Elisabeth;Scharfenberg;Die Grünen;member of federal parliament 1
Elisabeth Winkelmeier-Becker;Elisabeth;Winkelmeier-Becker;CDU;member of federal parliament 1
Elke Ferner;Elke;Ferner;SPD;member of federal parliament 1
Elvan Korkmaz;Elvan;Korkmaz;SPD;member of federal parliament 2
Elvira Drobinski-Weiß;Elvira;Drobinski-Weiß;SPD;member of federal parliament 1
Emmi Zeulner;Emmi;Zeulner;CSU;member of federal parliament 1
Enak Ferlemann;Enak;Ferlemann;CDU;member of federal parliament 1
Enrico Komning;Enrico;Komning;AfD;member of federal parliament 2
Erhard Grundl;Erhard;Grundl;Die Grünen;member of federal parliament 2
Erich Irlstorfer;Erich;Irlstorfer;CSU;member of federal parliament 1
Erika Steinbach;Erika;Steinbach;fraktionslos;member of federal parliament 1
Ernst Dieter Rossmann;Ernst Dieter;Rossmann;SPD;member of federal parliament 1
Erwin Rüddel;Erwin;Rüddel;CDU;member of federal parliament 1
Esther Dilcher;Esther;Dilcher;SPD;member of federal parliament 2
Eva Bulling-Schröter;Eva;Bulling-Schröter;Die Linke;member of federal parliament 1
Eva Högl;Eva;Högl;SPD;member of federal parliament 1
Eva Schreiber;Eva;Schreiber;Die Linke;member of federal parliament 2
Evrim Sommer;Evrim;Sommer;Die Linke;member of federal parliament 2
Ewald Schurer;Ewald;Schurer;SPD;member of federal parliament 1
Fabian Jacobi;Fabian;Jacobi;AfD;member of federal parliament 2
Fabio De Masi;Fabio;De Masi;Die Linke;member of federal parliament 2
Falko Mohrs;Falko;Mohrs;SPD;member of federal parliament 2
Felix Schreiner;Felix;Schreiner;CDU;member of federal parliament 2
Filiz Polat;Filiz;Polat;Die Grünen;member of federal parliament 2
Florian Hahn;Florian;Hahn;CSU;member of federal parliament 1
Florian Oßner;Florian;Oßner;CSU;member of federal parliament 1
Florian Post;Florian;Post;SPD;member of federal parliament 1
Florian Pronold;Florian;Pronold;SPD;member of federal parliament 1
Florian Toncar;Florian;Toncar;FDP;member of federal parliament 2
Frank Heinrich;Frank;Heinrich;CDU;member of federal parliament 2
Frank Junge;Frank;Junge;SPD;member of federal parliament 1
Frank Magnitz;Frank;Magnitz;AfD;member of federal parliament 2
Frank Müller-Rosentritt;Frank;Müller-Rosentritt;FDP;member of federal parliament 2
Frank Pasemann;Frank;Pasemann;AfD;member of federal parliament 2
Frank Schäffler;Frank;Schäffler;FDP;member of federal parliament 2
Frank Schwabe;Frank;Schwabe;SPD;member of federal parliament 1
Frank Sitta;Frank;Sitta;FDP;member of federal parliament 2
Frank Steffel;Frank;Steffel;CDU;member of federal parliament 1
Frank Tempel;Frank;Tempel;Die Linke;member of federal parliament 1
Franz Josef Jung;Franz Josef;Jung;CDU;member of federal parliament 1
Franz Thönnes;Franz;Thönnes;SPD;member of federal parliament 1
Franz-Josef Holzenkamp;Franz-Josef;Holzenkamp;CDU;member of federal parliament 1
Franziska Brantner;Franziska;Brantner;Die Grünen;member of federal parliament 1
Franziska Gminder;Franziska;Gminder;AfD;member of federal parliament 2
Frauke Petry;Frauke;Petry;fraktionslos;member of federal parliament 2
Friedrich Ostendorff;Friedrich;Ostendorff;Die Grünen;member of federal parliament 1
Friedrich Straetmanns;Friedrich;Straetmanns;Die Linke;member of federal parliament 2
Frithjof Schmidt;Frithjof;Schmidt;Die Grünen;member of federal parliament 1
Fritz Felgentreu;Fritz;Felgentreu;SPD;member of federal parliament 1
Fritz Güntzler;Fritz;Güntzler;CDU;member of federal parliament 1
Gabi Weber;Gabi;Weber;SPD;member of federal parliament 1
Gabriela Heinrich;Gabriela;Heinrich;SPD;member of federal parliament 1
Gabriele Fograscher;Gabriele;Fograscher;SPD;member of federal parliament 1
Gabriele Groneberg;Gabriele;Groneberg;SPD;member of federal parliament 1
Gabriele Hiller-Ohm;Gabriele;Hiller-Ohm;SPD;member of federal parliament 1
Gabriele Katzmarek;Gabriele;Katzmarek;SPD;member of federal parliament 1
Gabriele Lösekrug-Möller;Gabriele;Lösekrug-Möller;SPD;member of federal parliament 1
Gabriele Schmidt;Gabriele;Schmidt;CDU;member of federal parliament 1
Georg Kippels;Georg;Kippels;CDU;member of federal parliament 1
Georg Nüßlein;Georg;Nüßlein;CSU;member of federal parliament 1
Gerald Ullrich;Gerald;Ullrich;FDP;member of federal parliament 2
Gerda Hasselfeldt;Gerda;Hasselfeldt;CSU;member of federal parliament 1
Gerhard Schick;Gerhard;Schick;Die Grünen;member of federal parliament 1
Gernot Erler;Gernot;Erler;SPD;member of federal parliament 1
Gero Clemens Hocker;Gero Clemens;Hocker;FDP;member of federal parliament 2
Gero Storjohann;Gero;Storjohann;CDU;member of federal parliament 1
Gerold Otten;Gerold;Otten;AfD;member of federal parliament 2
Gerold Reichenbach;Gerold;Reichenbach;SPD;member of federal parliament 1
Gesine Lötzsch;Gesine;Lötzsch;Die Linke;member of federal parliament 1
Gisela Manderla;Gisela;Manderla;CDU;member of federal parliament 1
Gitta Connemann;Gitta;Connemann;CDU;member of federal parliament 1
Gökay Akbulut;Gökay;Akbulut;Die Linke;member of federal parliament 2
Gottfried Curio;Gottfried;Curio;AfD;member of federal parliament 2
Götz Frömming;Götz;Frömming;AfD;member of federal parliament 2
Gregor Gysi;Gregor;Gysi;Die Linke;member of federal parliament 1
Grigorios Aggelidis;Grigorios;Aggelidis;FDP;member of federal parliament 2
Gudrun Zollner;Gudrun;Zollner;CSU;member of federal parliament 1
Gülistan Yüksel;Gülistan;Yüksel;SPD;member of federal parliament 1
Günter Baumann;Günter;Baumann;CDU;member of federal parliament 1
Günter Krings;Günter;Krings;CDU;member of federal parliament 1
Günter Lach;Günter;Lach;CDU;member of federal parliament 1
Gunther Krichbaum;Gunther;Krichbaum;CDU;member of federal parliament 1
Gustav Herzog;Gustav;Herzog;SPD;member of federal parliament 1
